# Standard Model thermodynamics at O(g^4) [1503.04935]                                                    
#   Disclaimer: We do not recommend taking numerical derivatives from any of the functions, but rather    
#   directly using the derivative functions listed.  Theoretical errors are on the ~ 1% level.            
# Update Dec 2019                                    
#   The decoupling of neutrinos at T < 2 MeV has been incorporated into the results.                      
# Columns:                                           
    T[MeV]    p/T^4    e/T^4    s/T^3    c/T^3    w=p/e    c_s^2    g_eff    h_eff    i_eff
    0.18000000E+01    0.11715590E+01    0.35273420E+01    0.46997071E+01    0.14151105E+02    0.33213648E+00    0.33210883E+00    0.10721834E+02    0.10714048E+02    0.10753551E+02
    0.19000000E+01    0.11726444E+01    0.35293567E+01    0.47023728E+01    0.14153833E+02    0.33225444E+00    0.33223318E+00    0.10727958E+02    0.10720125E+02    0.10755623E+02
    0.20000000E+01    0.11735743E+01    0.35310771E+01    0.47046513E+01    0.14156159E+02    0.33235589E+00    0.33233954E+00    0.10733187E+02    0.10725319E+02    0.10757391E+02
    0.40555556E+01    0.11775462E+01    0.35340336E+01    0.47115798E+01    0.14143758E+02    0.33320175E+00    0.33312079E+00    0.10742174E+02    0.10741114E+02    0.10747967E+02
    0.61111111E+01    0.11782848E+01    0.35364573E+01    0.47147421E+01    0.14144634E+02    0.33318224E+00    0.33332373E+00    0.10749541E+02    0.10748323E+02    0.10748633E+02
    0.81666667E+01    0.11785730E+01    0.35365798E+01    0.47151528E+01    0.14153166E+02    0.33325221E+00    0.33315181E+00    0.10749913E+02    0.10749259E+02    0.10755116E+02
    0.10222222E+02    0.11789881E+01    0.35404663E+01    0.47194544E+01    0.14194654E+02    0.33300363E+00    0.33248111E+00    0.10761727E+02    0.10759066E+02    0.10786644E+02
    0.12277778E+02    0.11802338E+01    0.35523433E+01    0.47325772E+01    0.14317672E+02    0.33224093E+00    0.33054096E+00    0.10797829E+02    0.10788982E+02    0.10880126E+02
    0.14333333E+02    0.11831690E+01    0.35776931E+01    0.47608621E+01    0.14542928E+02    0.33070724E+00    0.32736614E+00    0.10874883E+02    0.10853464E+02    0.11051300E+02
    0.16388889E+02    0.11885001E+01    0.36187685E+01    0.48072686E+01    0.14867529E+02    0.32842669E+00    0.32334011E+00    0.10999737E+02    0.10959258E+02    0.11297968E+02
    0.18444444E+02    0.11965917E+01    0.36750329E+01    0.48716246E+01    0.15268147E+02    0.32560027E+00    0.31907111E+00    0.11170761E+02    0.11105972E+02    0.11602401E+02
    0.20500000E+02    0.12074593E+01    0.37439477E+01    0.49514070E+01    0.15716431E+02    0.32250966E+00    0.31504652E+00    0.11380236E+02    0.11287854E+02    0.11943056E+02
    0.22555556E+02    0.12208601E+01    0.38221687E+01    0.50430287E+01    0.16185935E+02    0.31941554E+00    0.31156857E+00    0.11618000E+02    0.11496727E+02    0.12299836E+02
    0.24611111E+02    0.12364022E+01    0.39063251E+01    0.51427272E+01    0.16655956E+02    0.31651288E+00    0.30876206E+00    0.11873804E+02    0.11724012E+02    0.12657009E+02
    0.26666667E+02    0.12536348E+01    0.39934571E+01    0.52470919E+01    0.17111921E+02    0.31392220E+00    0.30663372E+00    0.12138654E+02    0.11961935E+02    0.13003500E+02
    0.28722222E+02    0.12721095E+01    0.40811801E+01    0.53532896E+01    0.17544631E+02    0.31170138E+00    0.30512410E+00    0.12405300E+02    0.12204037E+02    0.13332321E+02
    0.30777778E+02    0.12914157E+01    0.41676965E+01    0.54591122E+01    0.17949054E+02    0.30986319E+00    0.30414485E+00    0.12668278E+02    0.12445283E+02    0.13639645E+02
    0.32833333E+02    0.13111982E+01    0.42517313E+01    0.55629295E+01    0.18323150E+02    0.30839159E+00    0.30360115E+00    0.12923714E+02    0.12681959E+02    0.13923925E+02
    0.34888889E+02    0.13311617E+01    0.43324419E+01    0.56636035E+01    0.18666930E+02    0.30725436E+00    0.30340305E+00    0.13169044E+02    0.12911468E+02    0.14185166E+02
    0.36944444E+02    0.13510691E+01    0.44093254E+01    0.57603946E+01    0.18981720E+02    0.30641176E+00    0.30347064E+00    0.13402742E+02    0.13132125E+02    0.14424377E+02
    0.39000000E+02    0.13707364E+01    0.44821372E+01    0.58528736E+01    0.19269636E+02    0.30582206E+00    0.30373556E+00    0.13624063E+02    0.13342952E+02    0.14643167E+02
    0.41055556E+02    0.13900250E+01    0.45508222E+01    0.59408472E+01    0.19533231E+02    0.30544481E+00    0.30414053E+00    0.13832841E+02    0.13543508E+02    0.14843476E+02
    0.43111111E+02    0.14088350E+01    0.46154607E+01    0.60242957E+01    0.19775227E+02    0.30524255E+00    0.30463851E+00    0.14029318E+02    0.13733747E+02    0.15027370E+02
